Username,FirstName,LastName,Email
edu_2021_1,Arihant,Jain,arihant.jain@example.com
edu_2021_2,John,Doe,arihant.jain@example.com
edu_2021_3,Jane,Smith,arihant.jain@example.com
edu_2021_4,Alex,Johnson,arihant.jain@example.com
edu_2021_5,Emily,Davis,arihant.jain@example.com
edu_2021_6,Michael,Brown,arihant.jain@example.com
edu_2021_7,Sarah,Wilson,arihant.jain@example.com
edu_2021_8,David,Miller,arihant.jain@example.com
edu_2021_9,Olivia,Taylor,arihant.jain@example.com
edu_2021_10,Daniel,Lee,arihant.jain@example.com
